StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q4_23,Q4_24,Q4_25,Q4_26,Q4_27,Q4_28,Q4_29,Q4_30,Q4_31,Q4_32,Q4_33,Q4_34,Q4_35,Q4_36,Q4_37,Q4_38,Q4_39,Q4_40,Q4_41,Q4_42,Q4_43,Q4_44,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6_1,Q6_2,Q6_3,Q7_First Click,Q7_Last Click,Q7_Page Submit,Q7_Click Count,Q8_1,Q8_2,Q8_3,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,Q21,Q10_1,Q10_2,Q10_3,Q11_First Click,Q11_Last Click,Q11_Page Submit,Q11_Click Count,Q12_1,Q12_2,Q12_3,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q14_1,Q14_2,Q14_3,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q16_1,Q16_2,Q16_3,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q18_1,Q18_2,Q18_3,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,survey_code
2019-01-13 05:00:05,2019-01-13 05:06:29,0,75.91.55.134,100,384,1,2019-01-13 05:06:30,R_2S7xSFpBxRuYiPC,,,,,38.0045013427734375,-85.6887969970703125,anonymous,EN,1,2,2,5,1,3,4,5,2,5,4,3,1,5,1,4,4,5,2,1,4,5,4,4,5,3,2,4,5,1,4,4,5,5,5,4,2,1,5,1,3,4,5,1,2,3.722,106.689,107.624,53,2,1,3,0,0,77.951,0,1,2,3,0,0,46.162,0,3,2,3,1,0,0,43.688,0,3,1,2,18.144,18.144,21.552,1,2,3,1,0,0,26.474,0,1,2,3,0,0,19.773,0,3,2,1,0,0,19.032,0,41268573
2019-01-13 04:59:32,2019-01-13 05:06:31,0,24.127.94.39,100,418,1,2019-01-13 05:06:31,R_2bNlpjK42r4F9qL,,,,,42.6428985595703125,-83.3545989990234375,anonymous,EN,1,2,2,4,4,4,4,4,3,2,4,3,1,4,3,4,2,3,3,3,4,4,3,2,2,4,3,3,3,3,4,4,3,3,2,3,2,3,3,3,4,2,2,3,3,2.804,154.808,156.22,44,2,1,3,0,0,42.626,0,1,2,3,0,0,28.783,0,3,1,3,2,0,0,39.54,0,2,3,1,0,0,49.255,0,1,3,2,0,0,22.478,0,3,1,2,0,0,20.997,0,2,1,3,0,0,15.118,0,84583563
2019-01-13 04:59:57,2019-01-13 05:07:31,0,23.125.44.89,100,453,1,2019-01-13 05:07:31,R_wNJQcc4Eqs2AGMp,,,,,25.530303955078125,-80.3917999267578125,anonymous,EN,1,4,2,5,1,4,4,4,2,4,5,5,2,5,4,2,5,4,4,4,2,2,5,1,2,4,4,2,4,4,4,2,5,5,2,2,5,2,4,4,4,2,5,2,2,5.142,125.071,125.954,48,3,1,2,0,0,59.032,0,1,3,2,0,0,23.729,0,3,2,3,1,0,0,39.253,0,3,2,1,0,0,52.314,0,1,3,2,0,0,42.253,0,3,1,2,0,0,38.518,0,3,2,1,0,0,33.63,0,51052280
2019-01-13 04:59:15,2019-01-13 05:07:36,0,76.104.104.130,100,501,1,2019-01-13 05:07:37,R_2uUjnIq8GFfkTzJ,,,,,37.1819000244140625,-77.38539886474609375,anonymous,EN,1,4,1,4,1,4,3,5,2,4,4,4,1,4,2,3,4,4,2,2,4,2,4,1,2,3,2,1,4,2,5,2,5,4,2,3,4,1,4,1,4,1,4,2,4,5.699,171.331,174.707,46,2,1,3,0,0,43.061,0,1,3,2,0,0,43.409,0,3,1,3,2,0,0,41.707,0,3,2,1,0,0,33.891,0,3,2,1,0,0,29.143,0,3,2,1,0,0,24.386,0,3,2,1,0,0,17.969,0,61812740
2019-01-13 04:58:41,2019-01-13 05:07:41,0,71.71.0.161,100,540,1,2019-01-13 05:07:42,R_1CfFKaeXQVREQ4s,,,,,36.1165008544921875,-80.083099365234375,anonymous,EN,1,4,1,5,1,4,2,5,1,5,5,4,1,5,5,5,4,3,1,1,5,1,2,1,5,5,5,1,5,2,4,2,5,4,4,2,4,1,4,1,4,4,4,1,3,3.605,104.028,105.325,53,3,1,2,59.686,59.686,61.188,1,1,3,2,69.651,69.651,71.081,1,3,3,2,1,97.372,108,109.754,2,1,3,2,4.877,25.746,55.234,2,2,3,1,0,0,36.384,0,3,2,1,16.959,21.311,26.179,2,3,1,2,0,0,26.33,0,17619496
2019-01-13 05:03:27,2019-01-13 05:07:51,0,45.116.233.60,100,264,1,2019-01-13 05:07:52,R_1ff1ILewDtSDdIU,,,,,24.9055938720703125,67.0821990966796875,anonymous,EN,1,2,1,5,4,4,5,4,3,4,5,5,1,3,4,5,4,3,4,3,4,5,4,3,4,5,4,3,4,2,4,5,4,3,4,5,4,3,4,5,4,4,3,4,4,4.304,58.286,60.268,46,1,2,3,0,0,36.9,0,2,3,1,0,0,17.485,0,6,1,2,3,0,0,38.42,0,1,3,2,34.23,34.23,34.614,1,3,1,2,0,0,10.153,0,1,3,2,0,0,15.034,0,3,1,2,0,0,20.646,0,17748270
2019-01-13 04:59:24,2019-01-13 05:08:28,0,68.205.177.92,100,544,1,2019-01-13 05:08:28,R_1IR6H7BGEONVfxq,,,,,29.1383056640625,-80.99559783935546875,anonymous,EN,1,2,2,5,1,4,5,3,1,5,5,4,1,5,1,4,2,4,1,1,3,5,3,1,5,4,2,2,5,1,2,4,5,5,5,2,1,1,5,1,4,4,3,1,1,6.124,131.816,133.292,45,1,2,3,0,0,60.348,0,1,3,2,0,0,46.977,0,3,3,2,1,0,0,65.578,0,1,3,2,0,0,52.336,0,2,3,1,0,0,52.249,0,1,2,3,0,0,64.995,0,,,,0,0,24.797,0,29605498
2019-01-13 05:06:41,2019-01-13 05:08:56,0,172.101.166.104,100,134,1,2019-01-13 05:08:56,R_8Aek9cUuBQRRX8t,,,,,43.1685028076171875,-77.68450164794921875,anonymous,EN,1,4,5,4,5,2,3,3,5,4,5,3,3,5,2,4,4,5,5,3,4,2,5,5,2,4,2,4,1,2,3,4,2,5,4,1,2,3,5,2,5,4,2,4,4,0.763,68.745,75.634,132,1,3,2,2.664,11.219,12.078,7,1,2,3,2.922,7.205,9.341,4,3,3,2,1,1.034,4.148,4.194,5,3,2,1,0.945,2.903,4.055,3,1,2,3,1.043,2.16,3.649,3,1,2,3,3.393,4.958,4.999,3,1,2,3,1.082,3.865,3.909,5,34178846
2019-01-13 05:00:12,2019-01-13 05:09:25,0,196.16.108.64,100,552,1,2019-01-13 05:09:25,R_VWtD2jr3s6yWYdX,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,1,4,3,4,3,5,4,5,3,4,5,3,4,5,4,5,3,4,5,4,5,3,5,3,4,5,4,5,3,4,5,5,4,3,4,5,4,5,3,4,5,3,4,5,4,4.789,121.889,133.093,51,2,1,3,31.379,31.595,128.774,2,1,2,3,0,0,49.936,0,3,1,2,3,0,0,26.918,0,2,3,1,0,0,56.8,0,2,1,3,0,0,27.143,0,1,2,3,0,0,20.006,0,2,1,3,0,0,18.957,0,87594885
2019-01-13 05:04:52,2019-01-13 05:10:04,0,104.186.234.163,100,311,1,2019-01-13 05:10:04,R_bmdOvb80WsGLw2Z,,,,,36.0334014892578125,-79.86260223388671875,anonymous,EN,1,3,1,5,4,3,5,5,1,5,4,3,1,5,2,3,2,4,1,3,3,5,2,3,4,3,2,2,4,2,3,4,5,4,4,4,2,1,5,4,3,3,4,1,3,5.451,113.153,114.593,49,2,1,3,17.743,17.743,24.348,1,1,3,2,17.538,17.538,24.514,1,3,1,2,3,29.745,29.745,30.93,1,3,2,1,17.71,17.71,18.822,1,1,3,2,11.282,11.282,12.444,1,1,3,2,1.781,20.917,22.067,2,2,1,3,24.418,24.418,25.685,1,78025378
2019-01-13 05:03:18,2019-01-13 05:10:44,0,75.102.136.227,100,445,1,2019-01-13 05:10:44,R_2Y5Gg2khCevMVbT,,,,,39.595306396484375,-79.9228973388671875,anonymous,EN,1,1,3,4,5,5,5,4,3,3,5,1,2,5,5,4,2,4,4,3,3,5,3,5,3,4,4,2,3,5,5,5,5,5,5,5,1,2,3,4,4,2,4,4,4,2.543,145.302,150.797,46,3,1,2,0,0,44.134,0,1,3,2,0,0,28.351,0,3,1,3,2,0,0,32.776,0,1,3,2,0,0,25.658,0,1,3,2,0,0,24.323,0,3,1,2,0,0,21.425,0,3,1,2,0,0,14.931,0,72626189
2019-01-13 05:02:53,2019-01-13 05:10:44,0,208.104.183.191,100,471,1,2019-01-13 05:10:45,R_3e456BtVCjOVuR5,,,,,35.220794677734375,-82.7404022216796875,anonymous,EN,1,2,2,5,2,5,4,4,2,4,5,3,1,5,2,4,3,4,3,2,4,4,4,1,4,5,3,2,5,4,3,3,5,5,5,1,2,2,4,1,5,3,4,2,1,2.919,160.583,162.582,46,3,1,2,0,0,66.435,0,1,3,2,0,0,36.287,0,3,1,3,2,0,0,50.905,0,2,3,1,0,0,34.059,0,2,3,1,0,0,44.632,0,3,1,2,0,0,33.418,0,3,1,2,0,0,16.451,0,94390376
2019-01-13 05:06:49,2019-01-13 05:10:54,0,67.149.167.173,100,244,1,2019-01-13 05:10:54,R_2CJuoGPtfRgRRsz,,,,,42.5016021728515625,-83.10269927978515625,anonymous,EN,1,2,1,3,1,3,5,3,2,4,3,3,1,4,2,3,3,5,2,2,4,5,5,4,5,3,4,1,3,1,1,1,5,4,3,3,2,1,3,2,3,4,3,2,3,3.496,105.508,106.674,68,3,1,2,0,0,32.49,0,3,2,1,0,0,19.584,0,5,3,2,1,0,0,15.3,0,2,3,1,0,0,21.109,0,2,3,1,0,0,11.462,0,2,3,1,0,0,10.811,0,2,3,1,0,0,7.467,0,19036144
